ranking,score,score_num,movie_name
192,8.7,102499,绿里奇迹
193,9.2,48308,东京物语
194,8.5,137518,勇闯夺命岛
195,9.1,50609,迁徙的鸟
196,8.7,100298,末路狂花
197,8.6,122774,荒野生存
198,8.6,120185,卡萨布兰卡
199,8.4,210941,青蛇
200,8.5,135734,终结者2：审判日
201,8.8,76317,哪吒闹海
202,9.0,54283,忠犬八公物语
203,8.5,171121,这个男人来自地球
204,8.4,206743,变脸
205,8.6,105218,燕尾蝶
206,8.3,394460,源代码
207,8.4,169042,英国病人
208,8.4,175322,新龙门客栈
209,8.5,146764,E.T. 外星人
210,9.1,49187,黄金三镖客
211,8.5,148630,黑客帝国3：矩阵革命
212,8.4,179740,发条橙
213,9.2,41317,城市之光
214,8.4,178013,美国丽人
215,8.6,104912,叫我第一名
216,8.4,215141,无耻混蛋
217,8.3,225889,穆赫兰道
218,8.6,111531,非常嫌疑犯
219,8.3,439943,初恋这件小事
220,8.9,84578,勇士
221,8.5,242097,模仿游戏
222,8.6,92569,上帝也疯狂
223,8.3,265431,蓝色大门
224,9.0,45523,爱·回家
225,8.6,177573,无敌破坏王
226,8.8,109382,爱在午夜降临前
227,8.5,124470,血钻
228,8.7,86323,大卫·戈尔的一生
229,8.3,324671,国王的演讲
230,8.6,94852,枪火
231,8.8,139677,房间
232,8.2,297068,疯狂的石头
233,8.3,196627,曾经
234,8.5,122870,麦兜故事
235,8.4,138931,暖暖内含光
236,8.5,120596,遗愿清单
237,8.7,80560,千钧一发
238,8.7,209220,头脑特工队
239,8.6,92613,蝴蝶
240,8.5,126655,荒岛余生
241,8.6,101781,巴黎淘气帮
242,8.9,54240,与狼共舞
243,8.5,137368,月球
244,8.5,111852,偷拐抢骗
245,9.0,52926,我爱你
246,8.4,161121,彗星来的那一夜
247,8.3,190668,夜访吸血鬼
248,8.8,61403,步履不停
249,8.8,78465,寿司之神
250,8.6,94156,廊桥遗梦
