book_name,public_info,rating_num,comment_num
深入理解计算机系统,Randal E.Bryant、David O'Hallaron / 龚奕利、雷迎春 / 中国电力出版社 / 2004-5-1 / 85.00元,9.5,(2508人评价)
嗨翻C语言,[美]David Griffiths、[美]Dawn Griffiths / 程亦超 / 人民邮电出版社 / 2013-9 / 99.00,9.3,(89人评价)
Foundations of Computer Science,Alfred V. Aho、Jeffrey D. Ullman / W. H. Freeman / 1994-10-15 / 118.6,7.7,(25人评价)
深入理解C指针,[美] Richard Reese / 陈晓亮 / 人民邮电出版社 / 2014-2 / 45.00,8.5,(54人评价)
The Linux Programming Interface,Michael Kerrisk / No Starch Press / April 2010 / $99.95,9.5,(138人评价)
黑暗之旅,王立杰 / 北京大学出版社 / 2010年01月 / 29.00元,7.9,(112人评价)
Object-Oriented Programming With ANSI-C,Axel-Tobias Schreiner / Hanser Fachbuch / 1994,8.4,(22人评价)
C算法（第二卷：图算法）（第3版）,塞德威克(Sedgewick Robert) / 周良忠 / 第1版 (2004年1月1日) / 2004-4 / 38.0,8.3,(27人评价)
Linux C编程一站式学习,宋劲杉 / 电子工业出版社 / 2009-12 / 60.00元,9.0,(546人评价)
征服C指针,前桥和弥 / 吴雅明 / 人民邮电出版社 / 2013-2 / 49.00元,8.1,(135人评价)
小武,贾樟柯、赵静（编） / 山东画报出版社 / 2010-03 / 24.00,8.6,(757人评价)
Build Your Own Lisp,Mr Daniel Holden / CreateSpace Independent Publishing Platform / 2014-10-22 / USD 49.99,8.2,(11人评价)
此生是我吗,刘苇 / 广西师范大学出版社 / 2014-4 / 36.00,8.4,(99人评价)
UNIX编程环境,Brian W.Kernighan、Rob Pike / 陈向群/等 / 机械工业出版社 / 1999-10-1 / 24.00,8.8,(232人评价)
色彩学,朱介英、朱介英 / 中国青年出版社 / 2004-5-1 / 58.00元,7.4,(53人评价)
以色列与启示,埃里克·沃格林 / 霍伟岸、叶颖 / 译林出版社 / 2010-1 / 48.00元,8.7,(46人评价)
C数值算法,(美国)普雷斯等著、傅祖芸等译 / 傅祖芸 / 电子工业出版社 / 2004-1 / 68.00,8.9,(20人评价)
已知的世界,[美] 爱德华·P. 琼斯 / 曹元勇、卢肖慧 / 上海文艺出版社 / 2010年8月 / 32.00元,8.6,(104人评价)
施拉德论施拉德,[英]凯文·杰克逊 编 / 黄渊 / 广西师范大学出版社 / 2008-4 / 35.00元,8.5,(161人评价)
任逍遥,贾樟柯、赵静（编） / 山东画报出版社 / 2010-03 / 26.00,8.2,(312人评价)
生活和文本中的社会学,李培林 / 生活·读书·新知三联书店 / 2013-1 / 38.00元,8.1,(31人评价)
代价论,郑也夫 / 三联书店 / 1995-04-01 / 9.00,8.5,(156人评价)
叙事的转向,彭刚 / 北京大学出版社 / 2009.9 / 25.00,8.2,(82人评价)
STL源码剖析,侯捷 / 华中科技大学出版社 / 2002-6 / 68.00元,8.6,(1138人评价)
C现代编程,[日] 花井志生 / 杨文轩 / 人民邮电出版社 / 2016-4 / 59.00元,7.9,(13人评价)
巴塔哥尼亚高原上,（英）布鲁斯·查特文 / 叶肖 译 / 南京大学出版社 / 2009-5 / 26.00元,7.4,(147人评价)
Redis设计与实现,黄健宏 / 机械工业出版社 / 2014-6 / 79.00,8.5,(435人评价)
可变目标C编译器,Christopher W. Fraser、David R. Hanson / 王挺 / 电子工业出版社 / 2005-1-1 / 43.00,8.6,(39人评价)
C语言解析教程(原书第4版),Al Kelley、Ira Pohl / 中国标准出版社 / 2002-1-1 / 48.00,7.5,(10人评价)
C语言点滴,赵岩 / 人民邮电出版社 / 2013-10-1 / 45.00元,7.5,(30人评价)
UNIX编程艺术,Eric S. Raymond / 姜宏、何源、蔡晓俊 / 电子工业出版社 / 2006-2 / 59.00元,9.1,(1995人评价)
长白秘闻之不咸灵迹,滕珊珊 / 东方出版社 / 2014-8 / 32.8,9.4,(923人评价)
C/C++深层探索,姚新颜 / 人民邮电出版社 / 2002-12 / 32.00元,8.2,(40人评价)
死海古卷概说,林主榮 (Timothy H. Lim) / 傅有德、唐茂琴 / 外语教学与研究出版社 / 2007-12 / 18.00元,7.3,(84人评价)
自白录,刘晓庆 / 中国电影出版社 / 2005-03 / 32.00,7.9,(27人评价)
C语言深度解剖,2010-7 / 29.00元,7.6,(109人评价)
这就是爵士,[美] 温顿·马萨利斯、[美] 杰夫瑞·C.沃尔德 / 程水英 / 南京大学出版社 / 2011-6-1 / 24.00元,7.7,(67人评价)
C程序设计教程,迪特尔 / 薛万鹏 / 机械工业出版社 / 2000-7-1 / 33.00元,8.7,(51人评价)
编程珠玑,Jon Bentley / 黄倩、钱丽艳 / 人民邮电出版社 / 2008-10 / 39.00元,9.1,(1802人评价)
